Institution,Engaged2024,Engaged2025,Engaged2026,EverEngaged,LatestEngagementYear
Raffles University (RU),FALSE,FALSE,FALSE,FALSE,Never
Universiti Metropolitan Asia (Asia Metropolitan University),FALSE,FALSE,FALSE,FALSE,Never
Universiti Melaka (UNIMEL) (University of Melaka),FALSE,FALSE,FALSE,FALSE,Never
MILA University,TRUE,TRUE,TRUE,TRUE,2026
Universiti Antarabangsa INTI (INTI International University),TRUE,TRUE,TRUE,TRUE,2026
Universiti Nilai (Nilai University),FALSE,FALSE,FALSE,FALSE,Never
Universiti KPJ Healthcare (KPJ Healthcare University),FALSE,FALSE,FALSE,FALSE,Never
"Enforcement, Leadership and Management University (ELMU)",FALSE,FALSE,FALSE,FALSE,Never
Politeknik Metro Johor Bahru (PMJB),FALSE,FALSE,FALSE,FALSE,Never
Newcastle University Medicine Malaysia (NUMed),FALSE,FALSE,FALSE,FALSE,Never
University of Reading Malaysia,FALSE,FALSE,FALSE,FALSE,Never
University of Southampton Malaysia (UoSM),TRUE,TRUE,TRUE,TRUE,2026
Kolej Universiti Selatan (Southern University College),FALSE,FALSE,FALSE,FALSE,Never
Netherlands Maritime University College (NMUC),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Islam Johor Sultan Ibrahim (KUIJSI),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Manipal Malaysia (Manipal University College Malaysia) (MUCM),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Agrosains Malaysia (University College of Agroscience Malaysia),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Antarabangsa Putra,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Linton (Linton University College),FALSE,FALSE,FALSE,FALSE,Never
Institut Akauntan KTC Cawangan Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Institut Citipro,FALSE,FALSE,FALSE,FALSE,Never
Kolej Omega,FALSE,FALSE,FALSE,FALSE,Never
Institut Sains & Teknologi Darul Takzim (INSTEDT),FALSE,FALSE,FALSE,FALSE,Never
Institut Teknologi A.N.S Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Kolej KPJ Healthcare Johor Bahru (KPJ Healthcare College Johor Bahru),FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR Johor Bharu (UNITAR College Johor Bharu),FALSE,FALSE,FALSE,FALSE,Never
Kolej Internasional Crescendo,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa MDIS Malaysia (MDIS Malaysia International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Metropoint,FALSE,FALSE,FALSE,FALSE,Never
Kolej Poly-Tech Mara Batu Pahat,FALSE,FALSE,FALSE,FALSE,Never
Kolej Veritas Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Kolej Yayasan Pelajaran Johor,FALSE,FALSE,FALSE,FALSE,Never
Kolej Sunway Johor Bahru (Sunway College Johor Bahru),TRUE,TRUE,TRUE,TRUE,2026
Kolej Antarabangsa EduCity,FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Johor Bahru (MSU College Johor Bahru),FALSE,FALSE,FALSE,FALSE,Never
Kolej Sunway TES (JB) (Sunway TES College (JB)),FALSE,FALSE,FALSE,FALSE,Never
Akademi Laut Malaysia (ALAM),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Dunia Melayu Dunia Islam (KADMI),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Yayasan Melaka (International College of Yayasan Melaka),TRUE,TRUE,TRUE,TRUE,2026
Kolej UNITAR Melaka (UNITAR College Melaka),FALSE,FALSE,FALSE,FALSE,Never
Kolej Kejururawatan Dan Sains Kesihatan Oriental Nilam (Oriental Nilam College Of Nursing And Health Sciences),FALSE,FALSE,FALSE,FALSE,Never
Kolej Perniagaan KYS (KYS Business School),FALSE,FALSE,FALSE,FALSE,Never
Kolej Perubatan Antarabangsa Melaka,FALSE,FALSE,FALSE,FALSE,Never
Kolej Stamford Melaka,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Sains dan Teknologi Melaka,FALSE,FALSE,FALSE,FALSE,Never
Institut Antarabangsa Sains Mantin (International Institute of Science Mantin),FALSE,FALSE,FALSE,FALSE,Never
Institut Jati,FALSE,FALSE,FALSE,FALSE,Never
Institut Pengajian Global,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Murni (Murni International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Timur Barat (East West International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Unifield (Unifield International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Seremban,FALSE,FALSE,FALSE,FALSE,Never
Kolej Negeri Kampus Chedang (Kolej Negeri Chedang Campus),FALSE,FALSE,FALSE,FALSE,Never
Kolej Perkapalan dan Penerbangan (Shipping and Aviation College),FALSE,FALSE,FALSE,FALSE,Never
Kolej TAFE Seremban,FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITI,FALSE,FALSE,FALSE,FALSE,Never
Kolej Meatech (Meatech College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Timur Mantin,FALSE,FALSE,FALSE,FALSE,Never
Kolej Profesional dan Pengurusan KLIA,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Pasir Gudang,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Segamat,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Bandaraya Melaka,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Lendu,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Kuala Pilah,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Seremban 3,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi Malaysia (UTM),TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknikal Malaysia Melaka (UTeM),TRUE,TRUE,TRUE,TRUE,2026
Universiti Tun Hussein Onn Malaysia (UTHM),TRUE,TRUE,TRUE,TRUE,2026
Politeknik Port Dickson (PPD),TRUE,TRUE,TRUE,TRUE,2026
Politeknik Mersing Johor (PMJ),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Merlimau Melaka (PMM),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Melaka (PMK),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Ibrahim Sultan (PIS),FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Masjid Tanah,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Sri Gading,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Rembau,TRUE,TRUE,TRUE,TRUE,2026
Kolej Kemahiran Tinggi MARA Ledang,TRUE,TRUE,TRUE,TRUE,2026
Advanced Technology Training Centre JTM Tangkak,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Pedas,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Bukit Katil,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Pasir Gudang,FALSE,TRUE,FALSE,TRUE,2025
Advanced Technology Training Centre JTM Mersing,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Jasin,TRUE,TRUE,TRUE,TRUE,2026
Advanced Technology Training Centre JTM Batu Pahat,TRUE,TRUE,TRUE,TRUE,2026
Advanced Technology Training Centre JTM Proton Institute (Melaka),TRUE,TRUE,FALSE,TRUE,2025
Politeknik Nilai (PNS),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Tun Syed Nasir (PTSN),FALSE,TRUE,FALSE,TRUE,2025
Universiti Sains Islam Malaysia (USIM),TRUE,TRUE,TRUE,TRUE,2026
International Islamic University Malaysia (IIUM) Pagoh,TRUE,TRUE,TRUE,TRUE,2026
Asia e University (AeU),FALSE,FALSE,FALSE,FALSE,Never
Binary University of Management and Entrepreneurship (BUME),TRUE,TRUE,FALSE,TRUE,2025
City University,TRUE,TRUE,TRUE,TRUE,2026
Malaysia University of Science and Technology (MUST),FALSE,TRUE,FALSE,TRUE,2025
Universiti MISI (MISI University),FALSE,FALSE,TRUE,TRUE,2026
Management and Science University (MSU),TRUE,TRUE,TRUE,TRUE,2026
Politeknik Banting (PBS),TRUE,TRUE,FALSE,TRUE,2025
Putra Business School (PBS),FALSE,FALSE,FALSE,FALSE,Never
Sunway University,TRUE,TRUE,FALSE,TRUE,2025
UNITAR International University,TRUE,TRUE,TRUE,TRUE,2026
Universiti Infrastruktur Kuala Lumpur,FALSE,FALSE,FALSE,FALSE,Never
Universiti Islam Malaysia,FALSE,FALSE,FALSE,FALSE,Never
Universiti MAHSA (MAHSA University),TRUE,TRUE,TRUE,TRUE,2026
"Universiti Multimedia, Kampus Cyberjaya",FALSE,TRUE,TRUE,TRUE,2026
Universiti SEGi (SEGi University),FALSE,TRUE,TRUE,TRUE,2026
Universiti Taylor’s (Taylor’s University),TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi Kreatif Limkokwing (LUCT),FALSE,FALSE,FALSE,FALSE,Never
Universiti Tenaga Nasional Kampus Putrajaya,TRUE,TRUE,TRUE,TRUE,2026
Universiti Terbuka Malaysia (UNITEM) (Open Universiti Malaysia (OUM)),FALSE,FALSE,TRUE,TRUE,2026
University Malaysia of Computer Science and Engineering (UNIMY),FALSE,TRUE,TRUE,TRUE,2026
Universiti Cyberjaya (University of Cyberjaya (UoC)),FALSE,TRUE,TRUE,TRUE,2026
Universiti Keusahawanan Koperasi Malaysia (Malaysian Cooperative Entrepreneurship University),FALSE,FALSE,FALSE,FALSE,Never
Universiti Islam Selangor (UIS),FALSE,TRUE,TRUE,TRUE,2026
University of Wollongong Malaysia,FALSE,TRUE,TRUE,TRUE,2026
Al-Madinah International University (MEDIU),FALSE,FALSE,FALSE,FALSE,Never
Asia Pacific University of Technology and Innovation,TRUE,TRUE,TRUE,TRUE,2026
Asia School Of Business (ASB),FALSE,TRUE,TRUE,TRUE,2026
INCEIF University,FALSE,TRUE,TRUE,TRUE,2026
IMU University,FALSE,TRUE,TRUE,TRUE,2026
Universiti Malaya-Wales (UM-WALES),FALSE,FALSE,TRUE,TRUE,2026
Meritus University,FALSE,TRUE,FALSE,TRUE,2025
Universiti HELP,TRUE,TRUE,FALSE,TRUE,2025
Universiti Kuala Lumpur (UniKL),TRUE,TRUE,TRUE,TRUE,2026
Universiti Tun Abdul Razak (UNIRAZAK),FALSE,TRUE,TRUE,TRUE,2026
Universiti UCSI (UCSI University),TRUE,TRUE,FALSE,TRUE,2025
Universiti Geomatika Malaysia (University of Geomatika Malaysia),FALSE,TRUE,TRUE,TRUE,2026
Tunku Abdul Rahman University of Management and Technology (TAR UMT),FALSE,TRUE,TRUE,TRUE,2026
Universiti Poly-Tech Malaysia (UPTM),TRUE,TRUE,TRUE,TRUE,2026
Universiti Manipal GlobalNxt (Manipal GlobalNxt University),FALSE,FALSE,FALSE,FALSE,Never
Monash University Malaysia,TRUE,FALSE,FALSE,TRUE,2024
University of Nottingham Malaysia (UNM),TRUE,TRUE,TRUE,TRUE,2026
Universiti Xiamen Malaysia (Xiamen University Malaysia),FALSE,FALSE,TRUE,TRUE,2026
"University of Tsukuba, Malaysia",FALSE,FALSE,FALSE,FALSE,Never
Heriot-Watt University Malaysia,TRUE,TRUE,TRUE,TRUE,2026
First City University College,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Fairview,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Lincoln,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti New Era (New Era University College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Saito,FALSE,TRUE,TRUE,TRUE,2026
Kolej Universiti Genovasi (Genovasi University College),FALSE,FALSE,FALSE,FALSE,Never
University College of Aviation Malaysia (UniCAM),FALSE,TRUE,FALSE,TRUE,2025
Kolej Universiti Inovatif (Innovative University College),FALSE,FALSE,TRUE,TRUE,2026
Kolej Universiti Antarabangsa Spektrum (Spectrum International University College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Antarabangsa Pengurusan dan Sukan (International University College of Management and Sports),TRUE,FALSE,FALSE,TRUE,2024
Kolej Universiti BERJAYA (BERJAYA University College),FALSE,FALSE,FALSE,FALSE,Never
Kuala Lumpur Metropolitan University College (KLMUC),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Veritas (Veritas University College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Kings (Kings University College),TRUE,FALSE,FALSE,TRUE,2024
Akademi City (City Academy),FALSE,FALSE,FALSE,FALSE,Never
Akademi Pertama Rekabentuk dan Komunikasi,FALSE,FALSE,FALSE,FALSE,Never
Kolej Asia Perubatan Senaman  (Asia College of Excercise Medicine),FALSE,FALSE,FALSE,FALSE,Never
German Malaysian Institute (GMI),FALSE,TRUE,TRUE,TRUE,2026
Institut EU,FALSE,FALSE,FALSE,FALSE,Never
Kolej Alpine,FALSE,FALSE,FALSE,FALSE,Never
Institut Makanan Malaysia,FALSE,FALSE,FALSE,FALSE,Never
Institut Nasional Sains Oftalmik (National Institute of Ophthalmic Sciences),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Imperia (International College Imperia),FALSE,FALSE,FALSE,FALSE,Never
"Institute of Physical Science, Culture & Arts (IPSCA)",FALSE,FALSE,FALSE,FALSE,Never
INTEC Education College,FALSE,FALSE,FALSE,FALSE,Never
Kolej Peninsula Shah Alam (Peninsula College Shah Alam),FALSE,TRUE,FALSE,TRUE,2025
Kolej Antarabangsa INTI Subang (INTI International College Subang),TRUE,TRUE,TRUE,TRUE,2026
Kolej Antarabangsa Optima,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Restu (Restu International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Westminster,FALSE,FALSE,FALSE,FALSE,Never
Kolej ASA (ASA College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Pengajian Keselamatan dan Penyiasatan Malaysia (Malaysian,TRUE,FALSE,FALSE,TRUE,2024
Kolej Consist,FALSE,FALSE,FALSE,FALSE,Never
Kolej Dar Al-Hikmah,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Despark (Despark International College),TRUE,FALSE,FALSE,TRUE,2024
Kolej Dika (Dika College),FALSE,FALSE,FALSE,FALSE,Never
Kolej DOMA (DOMA College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Seni Kreatif Teknologi,FALSE,FALSE,FALSE,FALSE,Never
Kolej Hafiz,FALSE,FALSE,FALSE,FALSE,Never
"Kolej IACT (Pengiklanan, Komunikasi dan Teknologi Antarabangsa)",FALSE,FALSE,FALSE,FALSE,Never
Kolej iCOOP (iCOOP College),FALSE,FALSE,FALSE,FALSE,Never
Kolej i-CTI,FALSE,FALSE,FALSE,FALSE,Never
Kolej Islam As-Sofa (Islamic College As-Sofa),FALSE,FALSE,FALSE,FALSE,Never
UOW Malaysia KDU College,FALSE,TRUE,TRUE,TRUE,2026
Kolej Kejururawatan Tun Tan Cheng Lock,FALSE,FALSE,FALSE,FALSE,Never
UOW Malaysia College,FALSE,FALSE,FALSE,FALSE,Never
Kolej Life,FALSE,FALSE,FALSE,FALSE,Never
Kolej MASA,FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Shah Alam (MSU College Shah Alam),TRUE,TRUE,TRUE,TRUE,2026
Kolej Mutiara,FALSE,FALSE,FALSE,FALSE,Never
Kolej Otomotif TOC (The Otomotif College),FALSE,TRUE,TRUE,TRUE,2026
Kolej Pendidikan Perdana (KOPEDA),FALSE,FALSE,FALSE,FALSE,Never
Kolej Penerbangan Admal,FALSE,FALSE,FALSE,FALSE,Never
Kolej Perdana,FALSE,FALSE,FALSE,FALSE,Never
Kolej Raudhah (Raudhah College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Perniagaan Bersepadu Malaysia (Malaysian Integrated Business College),FALSE,FALSE,FALSE,FALSE,Never
Sekolah Pengurusan Inovatif (Innovative School of Management),FALSE,FALSE,FALSE,FALSE,Never
"Kolej Perubatan Antarabangsa Subang Jaya, Malaysia (International Medical College Subang Jaya, Malaysia)",FALSE,FALSE,FALSE,FALSE,Never
Kolej Point (Point College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Poly-Tech MARA Bangi,TRUE,TRUE,TRUE,TRUE,2026
Kolej Portman (Portman College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Origin (Origin International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Regent (Regent College),FALSE,FALSE,FALSE,FALSE,Never
Kolej SEGi Kota Damansara,FALSE,FALSE,FALSE,FALSE,Never
Kolej SEGI Subang Jaya,FALSE,FALSE,FALSE,FALSE,Never
Kolej Sunway (Sunway College),TRUE,TRUE,FALSE,TRUE,2025
Kolej TAJ,FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Asia,FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi dan Senireka RENG (RENG College of Technology and Design),FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Darulnaim Cawangan Kuala Lumpur,FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Timur,FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR (UNITAR College),TRUE,TRUE,TRUE,TRUE,2026
Kolej Vision,FALSE,FALSE,FALSE,FALSE,Never
Kolej Yayasan UEM,FALSE,FALSE,FALSE,FALSE,Never
Limkokwing Executive Leadership College,FALSE,FALSE,FALSE,FALSE,Never
Les' Copaque Animation Academy,FALSE,FALSE,FALSE,FALSE,Never
Kolej Taylor's (Taylor's College),TRUE,TRUE,TRUE,TRUE,2026
Kolej Beyond Four (Beyond Four College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Cyberjaya Central (Cyberjaya College Central),FALSE,FALSE,FALSE,FALSE,Never
Kolej Nippon Designers School Malaysia,FALSE,FALSE,FALSE,FALSE,Never
Kolej Brickfields Asia,FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Terain (Tech Terrain College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Premier (Premier College),FALSE,FALSE,FALSE,FALSE,Never
Reliance College,FALSE,FALSE,FALSE,FALSE,Never
Kolej Mantissa,FALSE,TRUE,TRUE,TRUE,2026
Kolej Sri,FALSE,FALSE,FALSE,FALSE,Never
Akademi Penerbangan GIAAN (GIAAN Flying Academy),FALSE,FALSE,FALSE,FALSE,Never
Akademi Kejururawatan Tung Shin,FALSE,FALSE,FALSE,FALSE,Never
Akademi Seni Lukis Dasein (Dasein Academy of Art),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Yes,FALSE,FALSE,FALSE,FALSE,Never
Akademi HELP (HELP Academy),FALSE,FALSE,FALSE,FALSE,Never
Kolej TAR EC (TAR EC College),FALSE,FALSE,FALSE,FALSE,Never
Kolej IIMAT (IIMAT College),FALSE,FALSE,FALSE,FALSE,Never
Institut Profesional Axismatics,FALSE,FALSE,FALSE,FALSE,Never
Kolej Profesional Baitulmal Kuala Lumpur (Baitulmal Professional College Kuala Lumpur),FALSE,FALSE,FALSE,FALSE,Never
Malaysian Institute of Art,FALSE,FALSE,FALSE,FALSE,Never
Institut Teknologi DSH (DSH Institute of Technology),FALSE,FALSE,FALSE,FALSE,Never
Institut Teknologi Maklumat Asia Pasifik (APIIT),FALSE,FALSE,FALSE,FALSE,Never
Kolej UCSI (UCSI College),FALSE,FALSE,FALSE,FALSE,Never
Kolej LSBF (LSBF College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Goon (Goon International College),FALSE,TRUE,FALSE,TRUE,2025
Kolej Antarabangsa Mahsa Avenue (Mahsa Avenue International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Pengurusan Hotel YTL,FALSE,FALSE,FALSE,FALSE,Never
Kolej  Meridian Saito (Meridian Saito College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Travex,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Windfield,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa YPC (YPC International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Ausffield (Ausffield College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Bersepadu Nasional (National Integrated College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Binary (City Campus),FALSE,FALSE,FALSE,FALSE,Never
Institut Gemologi Malaysia (Gemological Institute of Malaysia),FALSE,FALSE,FALSE,FALSE,Never
Kolej Sentral Metropolitan (Central Metropolitan College),FALSE,FALSE,FALSE,FALSE,Never
Kolej ICAN (ICAN College),FALSE,FALSE,FALSE,FALSE,Never
Kolej IJN,FALSE,FALSE,FALSE,FALSE,Never
Kolej Islam Antarabangsa,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Minda Isbauk (Isbauk Thinking Skills College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Oneworld Hanxin (Oneworld Hanxin College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Methodist Kuala Lumpur,FALSE,FALSE,FALSE,FALSE,Never
Kolej Mont Royale (Mont Royale College),FALSE,FALSE,FALSE,FALSE,Never
Kolej IHM (IHM College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Muzik Antarabangsa (ICOM),FALSE,FALSE,FALSE,FALSE,Never
Kolej Nirwana,FALSE,FALSE,FALSE,FALSE,Never
Advance Tertiary College (ATC),FALSE,FALSE,FALSE,FALSE,Never
Kolej Pengajian Tinggi Raffles (Raffles College of Higher Education),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Northern Kuala Lumpur,FALSE,FALSE,FALSE,FALSE,Never
Kolej Queens (Queens College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Sains Geospatial dan Teknologi (Geospatial Science and Technology College),FALSE,FALSE,FALSE,FALSE,Never
Kolej SCICOM –,FALSE,FALSE,FALSE,FALSE,Never
Kolej SEGi Kuala Lumpur (SEGi College Kuala Lumpur),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Imperium (Imperium International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Seni Kreatif Snips,FALSE,FALSE,FALSE,FALSE,Never
Kolej Seri Stamford (Seri Stamford College),FALSE,FALSE,FALSE,FALSE,Never
Kolej SPACE,FALSE,FALSE,FALSE,FALSE,Never
